Time; Position; Velocity; Acceleration
0;10;0;0
0,02;10;0;0
0,04;10;0;0
0,06;10;0;0
0,08;10;0;0
0,09999999;10;0;0
0,12;10;0;0
0,14;10;0;0
0,16;10;0;0
0,18;10;0;0
0,2;10;0;0
0,22;10;0;0
0,24;10;0;0
0,26;10;0;0
0,28;10;0;0
0,3;10;0;0
0,32;10;0;0
0,34;10;0;0
0,36;10;0;0
0,38;10;0;0
0,4;10;0;0
0,42;10;0;0
0,4400001;10;0;0
0,4600001;10;0;0
0,4800001;10;0;0
0,5000001;10;0;0
0,52;10;0;0
0,54;10;0;0
0,56;10;0;0
0,58;10;0;0
0,6;10;0;0
0,6199999;10;0;0
0,6399999;10;0;0
0,6599999;10;0;0
0,6799999;10;0;0
0,6999999;10;0;0
0,7199998;10;0;0
0,7399998;10;0;0
0,7599998;10;0;0
0,7799998;10;0;0
0,7999998;10;0;0
0,8199998;10;0;0
0,8399997;10;0;0
0,8599997;10;0;0
0,8799997;10;0;0
0,8999997;10;0;0
0,9199997;10;0;0
0,9399996;10;0;0
0,9599996;10;0;0
0,9799996;10;0;0
0,9999996;10;0;0
1,02;10;0;0
1,04;10;0;0
1,06;10;0;0
1,08;10;0;0
1,1;10;0;0
1,12;10;0;0
1,14;10;0;0
1,159999;10;0;0
1,179999;9,998107;-0,1667631;-0,05855982
1,199999;9,99376;-0,3237369;-0,04906178
1,219999;9,983068;-0,5493571;-0,0588502
1,239999;9,96801;-0,7651741;-0,04905687
1,259999;9,953109;-0,9319392;-0,05884431
1,279999;9,929633;-1,147766;-0,0588551
1,299999;9,908228;-1,314538;-0,05885314
1,319999;9,876336;-1,530358;-0,04905197
1,339999;9,848427;-1,697133;-0,05886393
1,359999;9,806147;-1,922755;-0,05885804
1,379999;9,758676;-2,148386;-0,0588502
1,399999;9,717887;-2,324961;-0,05885314
1,419999;9,666355;-2,530974;-0,0588502
1,439999;9,6077;-2,746796;-0,04905687
1,459999;9,55911;-2,913571;-0,05886099
1,479999;9,507688;-3,080336;-0,05884529
1,499999;9,436946;-3,296162;-0,04905393
1,519999;9,365019;-3,502172;-0,04905883
1,539999;9,303589;-3,668941;-0,05886197
