Time; Position; Velocity; Acceleration
0;10;0;0
0,02;10;0;0
0,04;10;0;0
0,06;10;0;0
0,08;10;0;0
0,09999999;10;0;0
0,12;10;0;0
0,14;10;0;0
0,16;10;0;0
0,18;10;0;0
0,2;10;0;0
0,22;10;0;0
0,24;10;0;0
0,26;10;0;0
0,28;10;0;0
0,3;10;0;0
0,32;10;0;0
0,34;10;0;0
0,36;10;0;0
0,38;10;0;0
0,4;10;0;0
0,42;10;0;0
0,4400001;10;0;0
0,4600001;10;0;0
0,4800001;10;0;0
0,5000001;10;0;0
0,52;10;0;0
0,54;10;0;0
0,56;10;0;0
0,58;10;0;0
0,6;10;0;0
0,6199999;10;0;0
0,6399999;10;0;0
0,6599999;10;0;0
0,6799999;10;0;0
0,6999999;10;0;0
0,7199998;10;0;0
0,7399998;10;0;0
0,7599998;10;0;0
0,7799998;10;0;0
0,7999998;10;0;0
0,8199998;10;0;0
0,8399997;10;0;0
0,8599997;10;0;0
0,8799997;10;0;0
0,8999997;10;0;0
0,9199997;10;0;0
0,9399996;10;0;0
0,9599996;10;0;0
0,9799996;10;0;0
0,9999996;10;0;0
1,02;10;0;0
1,04;10;0;0
1,06;10;0;0
1,08;10;0;0
1,1;10;0;0
1,12;10;0;0
1,14;10;0;0
1,159999;10;0;0
1,179999;9,997028;-0,2157876;-0,05855982
1,199999;9,991898;-0,3727614;-0,04906178
1,219999;9,980079;-0,5983815;-0,0588502
1,239999;9,963943;-0,8141986;-0,04905687
1,259999;9,94821;-0,9809637;-0,05884431
1,279999;9,923656;-1,196791;-0,0588551
1,299999;9,901417;-1,363563;-0,05885314
1,319999;9,868446;-1,579383;-0,04905197
1,339999;9,839703;-1,746158;-0,05886393
1,359999;9,796296;-1,97178;-0,05885804
1,379999;9,747697;-2,197411;-0,0588502
1,399999;9,706026;-2,373986;-0,05885314
1,419999;9,653464;-2,579999;-0,0588502
1,439999;9,593732;-2,795821;-0,04905687
1,459999;9,544309;-2,962596;-0,05886099
1,479999;9,492053;-3,129361;-0,05884529
1,499999;9,420233;-3,345187;-0,04905393
1,519999;9,347276;-3,551197;-0,04905883
1,539999;9,285013;-3,717965;-0,05886197
