Time; Position; Velocity; Acceleration
0;9,996076;-0,1962;-0,1962
0,02;9,988228;-0,3924;-0,1962
0,04;9,976456;-0,5886;-0,1962
0,06;9,96076;-0,7848001;-0,1962
0,08;9,94114;-0,9810001;-0,1962
0,09999999;9,917596;-1,1772;-0,1962
0,12;9,890128;-1,3734;-0,1962
0,14;9,858736;-1,5696;-0,1962
0,16;9,82342;-1,7658;-0,1962
0,18;9,78418;-1,962;-0,1962
0,2;9,741015;-2,1582;-0,1962
0,22;9,693928;-2,3544;-0,1962
0,24;9,642916;-2,5506;-0,1962
0,26;9,587979;-2,7468;-0,1962
0,28;9,529119;-2,943;-0,1962
0,3;9,466335;-3,1392;-0,1962
0,32;9,399628;-3,3354;-0,1962
0,34;9,328996;-3,5316;-0,1962
0,36;9,254439;-3,727799;-0,1962
0,38;9,17596;-3,923999;-0,1962
0,4;9,093555;-4,120199;-0,1962
0,42;9,007228;-4,316399;-0,1962
0,4400001;8,916976;-4,512599;-0,1962
0,4600001;8,8228;-4,708799;-0,1962
0,4800001;8,7247;-4,904999;-0,1962
0,5000001;8,622676;-5,101199;-0,1962
0,52;8,516727;-5,297399;-0,1962
0,54;8,406856;-5,493598;-0,1962
0,56;8,293059;-5,689798;-0,1962
0,58;8,17534;-5,885998;-0,1962
0,6;8,053696;-6,082198;-0,1962
0,6199999;7,928128;-6,278398;-0,1962
0,6399999;7,798636;-6,474598;-0,1962
0,6599999;7,66522;-6,670798;-0,1962
0,6799999;7,52788;-6,866998;-0,1962
0,6999999;7,386616;-7,063198;-0,1962
0,7199998;7,241428;-7,259398;-0,1962
0,7399998;7,092316;-7,455597;-0,1962
0,7599998;6,93928;-7,651797;-0,1962
0,7799998;6,78232;-7,847997;-0,1962
0,7999998;6,621436;-8,044197;-0,1962
0,8199998;6,456628;-8,240397;-0,1962
0,8399997;6,287896;-8,436598;-0,1962
0,8599997;6,11524;-8,632798;-0,1962
0,8799997;5,93866;-8,828999;-0,1962
0,8999997;5,758156;-9,025199;-0,1962
0,9199997;5,573729;-9,221399;-0,1962
0,9399996;5,385376;-9,4176;-0,1962
0,9599996;5,1931;-9,6138;-0,1962
0,9799996;4,996901;-9,81;-0,1962
0,9999996;4,796777;-10,0062;-0,1962
1,02;4,592729;-10,2024;-0,1962
1,04;4,384757;-10,3986;-0,1962
1,06;4,172861;-10,5948;-0,1962
1,08;3,957041;-10,791;-0,1962
1,1;3,737297;-10,9872;-0,1962
1,12;3,513628;-11,1834;-0,1962
1,14;3,286036;-11,3796;-0,1962
1,159999;3,05452;-11,5758;-0,1962
1,179999;2,81908;-11,772;-0,1962
1,199999;2,579716;-11,9682;-0,1962
1,219999;2,336428;-12,1644;-0,1962
1,239999;2,089216;-12,36061;-0,1962
1,259999;1,83808;-12,55681;-0,1962
1,279999;1,58302;-12,75301;-0,1962
1,299999;1,324036;-12,94921;-0,1962
1,319999;1,061128;-13,14541;-0,1962
1,339999;0,7942955;-13,34161;-0,1962
1,359999;0,5235394;-13,53781;-0,1962
1,379999;0,5467138;10,81679;0,01681387
1,399999;0,7591256;10,62059;-0,1962
1,419999;0,9676135;10,42439;-0,1962
