Time; Position; Velocity; Acceleration
0;10;0;0
0,02;10;0;0
0,04;10;0;0
0,06;10;0;0
0,08;10;0;0
0,09999999;10;0;0
0,12;10;0;0
0,14;10;0;0
0,16;10;0;0
0,18;10;0;0
0,2;10;0;0
0,22;10;0;0
0,24;10;0;0
0,26;10;0;0
0,28;10;0;0
0,3;10;0;0
0,32;10;0;0
0,34;10;0;0
0,36;10;0;0
0,38;10;0;0
0,4;10;0;0
0,42;10;0;0
0,4400001;10;0;0
0,4600001;10;0;0
0,4800001;10;0;0
0,5000001;10;0;0
0,52;10;0;0
0,54;10;0;0
0,56;10;0;0
0,58;10;0;0
0,6;10;0;0
0,6199999;10;0;0
0,6399999;10;0;0
0,6599999;10;0;0
0,6799999;10;0;0
0,6999999;10;0;0
0,7199998;10;0;0
0,7399998;10;0;0
0,7599998;10;0;0
0,7799998;10;0;0
0,7999998;10;0;0
0,8199998;10;0;0
0,8399997;10;0;0
0,8599997;10;0;0
0,8799997;10;0;0
0,8999997;10;0;0
0,9199997;10;0;0
0,9399996;10;0;0
0,9599996;10;0;0
0,9799996;10;0;0
0,9999996;10;0;0
1,02;10;0;0
1,04;10;0;0
1,06;10;0;0
1,08;10;0;0
1,1;10;0;0
1,12;10;0;0
1,14;10;0;0
1,159999;9,999755;-0,04905;-0,04905
1,179999;9,996322;-0,24525;-0,04905
1,199999;9,988965;-0,44145;-0,04905
1,219999;9,977683;-0,63765;-0,04905
1,239999;9,962478;-0,8338499;-0,04905
1,259999;9,948499;-0,9809998;-0,04905
1,279999;9,926426;-1,1772;-0,04905
1,299999;9,893317;-1,42245;-0,04905
1,319999;9,870509;-1,5696;-0,04905
1,339999;9,836664;-1,765799;-0,04905
1,359999;9,798896;-1,961999;-0,04905
1,379999;9,746167;-2,20725;-0,04905
1,399999;9,711586;-2,3544;-0,04905
1,419999;9,649048;-2,59965;-0,04905
1,439999;9,608582;-2,746801;-0,04905
1,459999;9,536233;-2,992051;-0,04905
1,479999;9,489882;-3,139201;-0,04905
1,499999;9,424644;-3,335402;-0,04905
1,519999;9,355484;-3,531602;-0,04905
1,539999;9,2824;-3,727803;-0,04905
1,559999;9,205391;-3,924003;-0,04905
