Time; Position; Velocity; Acceleration
0;10;0;0
0,005;9,999755;-0,04905;-0,04905
0,01;9,999265;-0,09810001;-0,04905
0,015;9,998529;-0,14715;-0,04905
0,02;9,997548;-0,1962;-0,04905
0,025;9,996322;-0,24525;-0,04905
0,03;9,99485;-0,2943;-0,04905
0,035;9,993134;-0,34335;-0,04905
0,04;9,991172;-0,3924;-0,04905
0,04499999;9,988965;-0,44145;-0,04905
0,04999999;9,986512;-0,4905;-0,04905
0,05499999;9,983814;-0,5395501;-0,04905
0,05999999;9,980871;-0,5886;-0,04905
0,06499999;9,977683;-0,63765;-0,04905
0,06999999;9,97425;-0,6867;-0,04905
0,075;9,970572;-0,73575;-0,04905
0,08;9,966647;-0,7847999;-0,04905
0,085;9,962478;-0,8338499;-0,04905
0,09;9,958063;-0,8828999;-0,04905
0,09500001;9,953403;-0,9319499;-0,04905
0,1;9,948499;-0,9809998;-0,04905
0,105;9,943349;-1,03005;-0,04905
0,11;9,937953;-1,0791;-0,04905
0,115;9,932312;-1,12815;-0,04905
0,12;9,926426;-1,1772;-0,04905
0,125;9,920295;-1,22625;-0,04905
0,13;9,913918;-1,2753;-0,04905
0,135;9,907297;-1,32435;-0,04905
0,14;9,90043;-1,3734;-0,04905
0,145;9,893317;-1,42245;-0,04905
0,15;9,88596;-1,4715;-0,04905
0,155;9,878357;-1,52055;-0,04905
0,16;9,870509;-1,5696;-0,04905
0,165;9,862416;-1,618649;-0,04905
0,17;9,854077;-1,667699;-0,04905
0,175;9,845493;-1,716749;-0,04905
0,18;9,836664;-1,765799;-0,04905
0,185;9,82759;-1,814849;-0,04905
0,19;9,818271;-1,863899;-0,04905
0,1949999;9,808706;-1,912949;-0,04905
0,1999999;9,798896;-1,961999;-0,04905
0,2049999;9,78884;-2,011049;-0,04905
0,2099999;9,77854;-2,060099;-0,04905
0,2149999;9,767994;-2,109149;-0,04905
0,2199999;9,757203;-2,1582;-0,04905
0,2249999;9,746167;-2,20725;-0,04905
0,2299999;9,734885;-2,2563;-0,04905
0,2349999;9,723358;-2,30535;-0,04905
0,2399999;9,711586;-2,3544;-0,04905
0,2449999;9,699569;-2,40345;-0,04905
0,2499999;9,687306;-2,4525;-0,04905
0,2549999;9,674799;-2,50155;-0,04905
0,2599999;9,662046;-2,5506;-0,04905
0,2649999;9,649048;-2,59965;-0,04905
0,2699999;9,635804;-2,6487;-0,04905
0,2749999;9,622315;-2,697751;-0,04905
0,2799999;9,608582;-2,746801;-0,04905
0,2849999;9,594603;-2,795851;-0,04905
0,2899999;9,580379;-2,844901;-0,04905
0,2949999;9,565908;-2,893951;-0,04905
0,2999999;9,551193;-2,943001;-0,04905
0,3049999;9,536233;-2,992051;-0,04905
0,3099999;9,521028;-3,041101;-0,04905
0,3149998;9,505577;-3,090151;-0,04905
0,3199998;9,489882;-3,139201;-0,04905
0,3249998;9,47394;-3,188251;-0,04905
0,3299998;9,457753;-3,237302;-0,04905
0,3349998;9,441321;-3,286352;-0,04905
0,3399998;9,424644;-3,335402;-0,04905
0,3449998;9,407722;-3,384452;-0,04905
0,3499998;9,390555;-3,433502;-0,04905
0,3549998;9,373142;-3,482552;-0,04905
0,3599998;9,355484;-3,531602;-0,04905
0,3649998;9,337581;-3,580652;-0,04905
0,3699998;9,319432;-3,629702;-0,04905
0,3749998;9,301039;-3,678752;-0,04905
0,3799998;9,2824;-3,727803;-0,04905
0,3849998;9,263515;-3,776853;-0,04905
0,3899998;9,244386;-3,825903;-0,04905
0,3949998;9,225011;-3,874953;-0,04905
0,3999998;9,205391;-3,924003;-0,04905
0,4049998;9,185526;-3,973053;-0,04905
0,4099998;9,165416;-4,022103;-0,04905
0,4149998;9,14506;-4,071153;-0,04905
0,4199997;9,124458;-4,120203;-0,04905
0,4249997;9,103612;-4,169252;-0,04905
0,4299997;9,08252;-4,218302;-0,04905
0,4349997;9,061184;-4,267352;-0,04905
0,4399997;9,039602;-4,316402;-0,04905
0,4449997;9,017775;-4,365452;-0,04905
0,4499997;8,995702;-4,414502;-0,04905
0,4549997;8,973384;-4,463552;-0,04905
0,4599997;8,950821;-4,512601;-0,04905
0,4649997;8,928013;-4,561651;-0,04905
0,4699997;8,90496;-4,610701;-0,04905
0,4749997;8,88166;-4,659751;-0,04905
0,4799997;8,858116;-4,708801;-0,04905
0,4849997;8,834327;-4,757851;-0,04905
0,4899997;8,810292;-4,806901;-0,04905
0,4949997;8,786013;-4,85595;-0,04905
0,4999997;8,761488;-4,905;-0,04905
0,5049997;8,736718;-4,95405;-0,04905
0,5099997;8,711702;-5,0031;-0,04905
0,5149997;8,686441;-5,05215;-0,04905
0,5199997;8,660935;-5,1012;-0,04905
0,5249997;8,635184;-5,150249;-0,04905
0,5299997;8,609188;-5,199299;-0,04905
0,5349997;8,582947;-5,248349;-0,04905
0,5399997;8,556459;-5,297399;-0,04905
0,5449997;8,529727;-5,346449;-0,04905
0,5499997;8,502749;-5,395499;-0,04905
0,5549996;8,475527;-5,444549;-0,04905
0,5599996;8,448059;-5,493598;-0,04905
0,5649996;8,420346;-5,542648;-0,04905
0,5699996;8,392387;-5,591698;-0,04905
0,5749996;8,364183;-5,640748;-0,04905
0,5799996;8,335734;-5,689798;-0,04905
0,5849996;8,30704;-5,738848;-0,04905
0,5899996;8,278101;-5,787898;-0,04905
0,5949996;8,248917;-5,836947;-0,04905
0,5999996;8,219486;-5,885997;-0,04905
0,6049996;8,189811;-5,935047;-0,04905
0,6099996;8,15989;-5,984097;-0,04905
0,6149996;8,129725;-6,033147;-0,04905
0,6199996;8,099314;-6,082197;-0,04905
0,6249996;8,068658;-6,131247;-0,04905
0,6299996;8,037756;-6,180296;-0,04905
0,6349996;8,006609;-6,229346;-0,04905
0,6399996;7,975217;-6,278396;-0,04905
0,6449996;7,94358;-6,327446;-0,04905
0,6499996;7,911697;-6,376496;-0,04905
0,6549996;7,87957;-6,425546;-0,04905
0,6599995;7,847197;-6,474596;-0,04905
0,6649995;7,814579;-6,523645;-0,04905
0,6699995;7,781715;-6,572695;-0,04905
0,6749995;7,748606;-6,621745;-0,04905
0,6799995;7,715252;-6,670795;-0,04905
0,6849995;7,681653;-6,719845;-0,04905
0,6899995;7,647809;-6,768895;-0,04905
0,6949995;7,613719;-6,817945;-0,04905
0,6999995;7,579384;-6,866994;-0,04905
0,7049995;7,544804;-6,916044;-0,04905
0,7099995;7,509978;-6,965094;-0,04905
0,7149995;7,474907;-7,014144;-0,04905
0,7199995;7,439591;-7,063194;-0,04905
0,7249995;7,40403;-7,112244;-0,04905
0,7299995;7,368224;-7,161294;-0,04905
0,7349995;7,332172;-7,210343;-0,04905
0,7399995;7,295875;-7,259393;-0,04905
0,7449995;7,259333;-7,308443;-0,04905
0,7499995;7,222545;-7,357493;-0,04905
0,7549995;7,185513;-7,406543;-0,04905
0,7599995;7,148234;-7,455593;-0,04905
0,7649994;7,110711;-7,504642;-0,04905
0,7699994;7,072943;-7,553692;-0,04905
0,7749994;7,034929;-7,602742;-0,04905
0,7799994;6,99667;-7,651792;-0,04905
0,7849994;6,958166;-7,700842;-0,04905
0,7899994;6,919416;-7,749892;-0,04905
0,7949994;6,880422;-7,798942;-0,04905
0,7999994;6,841182;-7,847991;-0,04905
0,8049994;6,801697;-7,897041;-0,04905
0,8099994;6,761966;-7,946091;-0,04905
0,8149994;6,721991;-7,995141;-0,04905
0,8199994;6,68177;-8,044191;-0,04905
0,8249994;6,641304;-8,093242;-0,04905
0,8299994;6,600592;-8,142292;-0,04905
0,8349994;6,559636;-8,191342;-0,04905
0,8399994;6,518434;-8,240393;-0,04905
0,8449994;6,476986;-8,289443;-0,04905
0,8499994;6,435294;-8,338493;-0,04905
0,8549994;6,393356;-8,387544;-0,04905
0,8599994;6,351173;-8,436594;-0,04905
0,8649994;6,308745;-8,485644;-0,04905
0,8699993;6,266072;-8,534695;-0,04905
0,8749993;6,223153;-8,583745;-0,04905
0,8799993;6,179989;-8,632795;-0,04905
0,8849993;6,13658;-8,681846;-0,04905
0,8899993;6,092926;-8,730896;-0,04905
0,8949993;6,049026;-8,779946;-0,04905
0,8999993;6,004881;-8,828997;-0,04905
0,9049993;5,960491;-8,878047;-0,04905
0,9099993;5,915855;-8,927097;-0,04905
0,9149993;5,870975;-8,976148;-0,04905
0,9199993;5,825849;-9,025198;-0,04905
0,9249993;5,780478;-9,074248;-0,04905
0,9299993;5,734861;-9,123299;-0,04905
0,9349993;5,688999;-9,172349;-0,04905
0,9399993;5,642892;-9,221399;-0,04905
0,9449993;5,59654;-9,27045;-0,04905
0,9499993;5,549942;-9,3195;-0,04905
0,9549993;5,5031;-9,36855;-0,04905
0,9599993;5,456012;-9,417601;-0,04905
0,9649993;5,408679;-9,466651;-0,04905
0,9699993;5,3611;-9,515701;-0,04905
0,9749992;5,313276;-9,564752;-0,04905
0,9799992;5,265207;-9,613802;-0,04905
0,9849992;5,216893;-9,662852;-0,04905
0,9899992;5,168334;-9,711903;-0,04905
0,9949992;5,119529;-9,760953;-0,04905
0,9999992;5,070479;-9,810003;-0,04905
1,004999;5,021183;-9,859054;-0,04905
1,009999;4,971643;-9,908104;-0,04905
1,014999;4,921857;-9,957154;-0,04905
1,019999;4,871826;-10,0062;-0,04905
1,024999;4,82155;-10,05525;-0,04905
1,029999;4,771029;-10,10431;-0,04905
1,034999;4,720262;-10,15336;-0,04905
1,039999;4,66925;-10,20241;-0,04905
1,044999;4,617992;-10,25146;-0,04905
1,049999;4,56649;-10,30051;-0,04905
1,054999;4,514742;-10,34956;-0,04905
1,059999;4,462749;-10,39861;-0,04905
1,064999;4,410511;-10,44766;-0,04905
1,069999;4,358027;-10,49671;-0,04905
1,074999;4,305298;-10,54576;-0,04905
1,079999;4,252324;-10,59481;-0,04905
1,084999;4,199105;-10,64386;-0,04905
1,089999;4,14564;-10,69291;-0,04905
1,094999;4,09193;-10,74196;-0,04905
1,099999;4,037975;-10,79101;-0,04905
1,104999;3,983775;-10,84006;-0,04905
1,109999;3,929329;-10,88911;-0,04905
1,114999;3,874639;-10,93816;-0,04905
1,119999;3,819702;-10,98721;-0,04905
1,124999;3,764521;-11,03626;-0,04905
1,129999;3,709095;-11,08531;-0,04905
1,134999;3,653423;-11,13436;-0,04905
1,139999;3,597506;-11,18341;-0,04905
1,144999;3,541343;-11,23246;-0,04905
1,149999;3,484936;-11,28151;-0,04905
1,154999;3,428283;-11,33056;-0,04905
1,159999;3,371385;-11,37961;-0,04905
1,164999;3,314242;-11,42866;-0,04905
