Time;Position;Velocity;Acceleration;ActualTime
0;10.44;0;0;638544989935694677
0.005;10.43975;-0.04905;-0.04905;638544989935757799
0.01;10.43926;-0.09810001;-0.04905;638544989935808385
0.015;10.43853;-0.14715;-0.04905;638544989935859812
0.02;10.43755;-0.1962;-0.04905;638544989935909878
0.025;4.204521;-11.03626;-0.04905;638544989935960469
0.03;4.149094;-11.08531;-0.04905;638544989936011652
0.035;4.093422;-11.13436;-0.04905;638544989936066257
0.04;4.037505;-11.18341;-0.04905;638544989936066257
0.04499999;3.981343;-11.23246;-0.04905;638544989936118330
0.04999999;3.924935;-11.28151;-0.04905;638544989936175818
0.05499999;3.868283;-11.33056;-0.04905;638544989936229649
0.05999999;3.811384;-11.37961;-0.04905;638544989936285611
0.06499999;3.754241;-11.42866;-0.04905;638544989936341471
0.06999999;3.696853;-11.47771;-0.04905;638544989936394108
0.075;3.639219;-11.52676;-0.04905;638544989936445633
0.08;3.58134;-11.57582;-0.04905;638544989936501563
0.085;3.523216;-11.62487;-0.04905;638544989936557786
0.09;3.464846;-11.67392;-0.04905;638544989936618200
0.09500001;3.406231;-11.72297;-0.04905;638544989936618200
0.1;3.347371;-11.77202;-0.04905;638544989936672109
0.105;3.288266;-11.82107;-0.04905;638544989936722112
0.11;3.228915;-11.87012;-0.04905;638544989936779612
0.115;3.169319;-11.91917;-0.04905;638544989936837855
0.12;3.109478;-11.96822;-0.04905;638544989936888102
0.125;3.049392;-12.01727;-0.04905;638544989936938197
0.13;2.98906;-12.06632;-0.04905;638544989936991069
0.135;2.928483;-12.11537;-0.04905;638544989937044546
0.14;2.867661;-12.16442;-0.04905;638544989937100272
0.145;2.806594;-12.21347;-0.04905;638544989937157816
0.15;2.745281;-12.26252;-0.04905;638544989937207819
0.155;2.683724;-12.31157;-0.04905;638544989937261619
0.16;2.621921;-12.36062;-0.04905;638544989937317464
0.165;2.559872;-12.40967;-0.04905;638544989937317464
0.17;2.497579;-12.45872;-0.04905;638544989937370972
0.175;2.43504;-12.50777;-0.04905;638544989937422928
0.18;2.372256;-12.55682;-0.04905;638544989937474939
0.185;2.309226;-12.60587;-0.04905;638544989937530682
0.19;2.245952;-12.65492;-0.04905;638544989937589251
0.1949999;2.182432;-12.70397;-0.04905;638544989937641197
0.1999999;2.118667;-12.75302;-0.04905;638544989937696674
