Time;Position;Velocity;Acceleration;ActualTime
0;10.44;0;0;638545140303553820
0.005;10.43975;-0.04905;-0.04905;638545140303618921
0.01;10.43926;-0.09810001;-0.04905;638545140303669216
0.015;10.43853;-0.14715;-0.04905;638545140303724358
0.02;10.43755;-0.1962;-0.04905;638545140303724358
0.025;6.821829;-0.04749525;-0.04905;638545140303774693
0.03;6.821346;-0.09654525;-0.04905;638545140303830174
0.035;6.820618;-0.1455953;-0.04905;638545140303880488
0.04;6.819645;-0.1946453;-0.04905;638545140303931068
0.04499999;6.818427;-0.2436953;-0.04905;638545140303981441
0.04999999;6.816963;-0.2927453;-0.04905;638545140304031759
0.05499999;6.815254;-0.3417953;-0.04905;638545140304082109
0.05999999;6.8133;-0.3908453;-0.04905;638545140304137224
0.06499999;6.8111;-0.4398953;-0.04905;638545140304187607
0.06999999;6.808655;-0.4889453;-0.04905;638545140304242700
0.075;6.805965;-0.5379953;-0.04905;638545140304293016
0.08;6.80303;-0.5870453;-0.04905;638545140304348168
0.085;6.79985;-0.6360953;-0.04905;638545140304398759
0.09;6.796424;-0.6851453;-0.04905;638545140304449075
0.09500001;6.792753;-0.7341952;-0.04905;638545140304504506
0.1;6.788836;-0.7832452;-0.04905;638545140304559659
0.105;6.784675;-0.8322952;-0.04905;638545140304610571
0.11;6.780268;-0.8813452;-0.04905;638545140304666087
0.115;6.775616;-0.9303951;-0.04905;638545140304721236
0.12;6.770719;-0.9794451;-0.04905;638545140304771841
0.125;6.765576;-1.028495;-0.04905;638545140304826989
0.13;6.760189;-1.077545;-0.04905;638545140304826989
0.135;6.754556;-1.126595;-0.04905;638545140304877718
0.14;6.748677;-1.175645;-0.04905;638545140304927899
0.145;6.742554;-1.224695;-0.04905;638545140304978173
0.15;6.736185;-1.273745;-0.04905;638545140305033318
0.155;6.729571;-1.322795;-0.04905;638545140305083658
0.16;6.722712;-1.371845;-0.04905;638545140305134239
0.165;6.715607;-1.420895;-0.04905;638545140305189311
0.17;6.708258;-1.469945;-0.04905;638545140305244447
0.175;6.700663;-1.518995;-0.04905;638545140305294897
0.18;6.692822;-1.568045;-0.04905;638545140305350433
0.185;6.684737;-1.617095;-0.04905;638545140305400778
0.19;6.676406;-1.666145;-0.04905;638545140305451081
0.1949999;6.66783;-1.715195;-0.04905;638545140305501683
0.1999999;6.659009;-1.764245;-0.04905;638545140305551931
0.2049999;6.649943;-1.813295;-0.04905;638545140305602685
0.2099999;6.640631;-1.862345;-0.04905;638545140305657795
0.2149999;6.631074;-1.911395;-0.04905;638545140305712971
0.2199999;6.621272;-1.960445;-0.04905;638545140305763242
0.2249999;6.611225;-2.009495;-0.04905;638545140305818391
0.2299999;6.600932;-2.058545;-0.04905;638545140305868723
0.2349999;6.590394;-2.107595;-0.04905;638545140305923832
0.2399999;6.579611;-2.156645;-0.04905;638545140305923832
0.2449999;6.568583;-2.205695;-0.04905;638545140305974561
0.2499999;6.557309;-2.254745;-0.04905;638545140306029999
0.2549999;6.54579;-2.303795;-0.04905;638545140306080363
0.2599999;6.534026;-2.352845;-0.04905;638545140306135471
0.2649999;6.522016;-2.401895;-0.04905;638545140306186089
0.2699999;6.509761;-2.450945;-0.04905;638545140306241824
0.2749999;6.497262;-2.499995;-0.04905;638545140306292135
0.2799999;6.484516;-2.549046;-0.04905;638545140306352127
0.2849999;6.471526;-2.598096;-0.04905;638545140306402419
0.2899999;6.45829;-2.647146;-0.04905;638545140306452699
0.2949999;6.444809;-2.696196;-0.04905;638545140306503012
0.2999999;6.431083;-2.745246;-0.04905;638545140306553336
0.3049999;6.417111;-2.794296;-0.04905;638545140306608445
0.3099999;6.402894;-2.843346;-0.04905;638545140306658768
0.3149998;6.388433;-2.892396;-0.04905;638545140306714211
0.3199998;6.373725;-2.941446;-0.04905;638545140306764856
0.3249998;6.358773;-2.990496;-0.04905;638545140306820014
0.3299998;6.343575;-3.039546;-0.04905;638545140306875164
0.3349998;6.328132;-3.088597;-0.04905;638545140306875164
0.3399998;6.312444;-3.137647;-0.04905;638545140306930319
0.3449998;6.29651;-3.186697;-0.04905;638545140306985466
0.3499998;6.280332;-3.235747;-0.04905;638545140307040620
0.3549998;6.263907;-3.284797;-0.04905;638545140307090925
0.3599998;6.247238;-3.333847;-0.04905;638545140307141199
0.3649998;6.230324;-3.382897;-0.04905;638545140307191524
0.3699998;6.213164;-3.431947;-0.04905;638545140307246654
0.3749998;6.195759;-3.480997;-0.04905;638545140307296984
0.3799998;6.178109;-3.530047;-0.04905;638545140307352647
0.3849998;6.160213;-3.579098;-0.04905;638545140307402937
0.3899998;6.142072;-3.628148;-0.04905;638545140307458175
0.3949998;6.123686;-3.677198;-0.04905;638545140307513301
0.3999998;6.105055;-3.726248;-0.04905;638545140307568460
0.4049998;6.086178;-3.775298;-0.04905;638545140307623622
0.4099998;6.067057;-3.824348;-0.04905;638545140307623622
0.4149998;6.047689;-3.873398;-0.04905;638545140307673847
0.4199997;6.028077;-3.922448;-0.04905;638545140307734024
0.4249997;6.00822;-3.971498;-0.04905;638545140307789154
0.4299997;5.988117;-4.020548;-0.04905;638545140307839453
0.4349997;5.967769;-4.069598;-0.04905;638545140307889757
0.4399997;5.947176;-4.118648;-0.04905;638545140307940067
0.4449997;5.926337;-4.167698;-0.04905;638545140307995249
0.4499997;5.905253;-4.216748;-0.04905;638545140308050383
0.4549997;5.883924;-4.265798;-0.04905;638545140308101026
0.4599997;5.86235;-4.314847;-0.04905;638545140308151356
0.4649997;5.840531;-4.363897;-0.04905;638545140308206792
0.4699997;5.818466;-4.412947;-0.04905;638545140308257093
