Time;Position;Velocity;Acceleration;ActualTime
0;10,44;0;0;638545140272954447
0,005;10,43975;-0,04905;-0,04905;638545140273014450
0,01;10,43926;-0,09810001;-0,04905;638545140273014450
0,015;10,43853;-0,14715;-0,04905;638545140273072699
0,02;10,43755;-0,1962;-0,04905;638545140273126969
0,025;10,43632;-0,24525;-0,04905;638545140273181555
0,03;10,43485;-0,2943;-0,04905;638545140273235544
0,035;10,43313;-0,34335;-0,04905;638545140273295415
0,04;10,43117;-0,3924;-0,04905;638545140273355405
0,04499999;10,42896;-0,44145;-0,04905;638545140273405406
0,04999999;10,42651;-0,4905;-0,04905;638545140273465402
0,05499999;10,42381;-0,5395501;-0,04905;638545140273465402
0,05999999;10,42087;-0,5886;-0,04905;638545140273515405
0,06499999;10,41768;-0,63765;-0,04905;638545140273575399
0,06999999;10,41425;-0,6867;-0,04905;638545140273625403
0,075;10,41057;-0,73575;-0,04905;638545140273685402
0,08;10,40665;-0,7847999;-0,04905;638545140273735403
0,085;10,40248;-0,8338499;-0,04905;638545140273795400
0,09;10,39806;-0,8828999;-0,04905;638545140273845403
0,09500001;10,3934;-0,9319499;-0,04905;638545140273905403
0,1;10,3885;-0,9809998;-0,04905;638545140273955403
0,105;10,38335;-1,03005;-0,04905;638545140274015402
0,11;10,37795;-1,0791;-0,04905;638545140274015402
0,115;10,37231;-1,12815;-0,04905;638545140274065409
0,12;10,36643;-1,1772;-0,04905;638545140274125403
0,125;10,36029;-1,22625;-0,04905;638545140274175419
0,13;10,35392;-1,2753;-0,04905;638545140274235398
0,135;10,3473;-1,32435;-0,04905;638545140274285402
0,14;10,34043;-1,3734;-0,04905;638545140274335407
0,145;10,33332;-1,42245;-0,04905;638545140274395401
0,15;10,32596;-1,4715;-0,04905;638545140274445412
0,155;10,31836;-1,52055;-0,04905;638545140274505408
0,16;10,31051;-1,5696;-0,04905;638545140274555410
0,165;10,30242;-1,618649;-0,04905;638545140274615421
0,17;10,29408;-1,667699;-0,04905;638545140274615421
0,175;10,28549;-1,716749;-0,04905;638545140274675407
0,18;10,27666;-1,765799;-0,04905;638545140274725412
0,185;10,26759;-1,814849;-0,04905;638545140274785410
0,19;10,25827;-1,863899;-0,04905;638545140274845407
0,1949999;10,24871;-1,912949;-0,04905;638545140274895412
0,1999999;10,2389;-1,961999;-0,04905;638545140274955399
0,2049999;10,22884;-2,011049;-0,04905;638545140275005412
0,2099999;10,21854;-2,060099;-0,04905;638545140275065403
0,2149999;10,20799;-2,109149;-0,04905;638545140275065403
0,2199999;10,1972;-2,1582;-0,04905;638545140275125405
0,2249999;10,18617;-2,20725;-0,04905;638545140275175412
0,2299999;10,17488;-2,2563;-0,04905;638545140275235415
0,2349999;10,16336;-2,30535;-0,04905;638545140275295397
0,2399999;10,15159;-2,3544;-0,04905;638545140275345411
0,2449999;10,13957;-2,40345;-0,04905;638545140275395416
0,2499999;10,12731;-2,4525;-0,04905;638545140275455410
0,2549999;10,1148;-2,50155;-0,04905;638545140275515411
0,2599999;10,10205;-2,5506;-0,04905;638545140275515411
0,2649999;10,08905;-2,59965;-0,04905;638545140275565411
0,2699999;10,0758;-2,6487;-0,04905;638545140275625415
0,2749999;10,06231;-2,697751;-0,04905;638545140275685411
0,2799999;10,04858;-2,746801;-0,04905;638545140275745406
0,2849999;10,0346;-2,795851;-0,04905;638545140275795412
0,2899999;10,02038;-2,844901;-0,04905;638545140275845426
0,2949999;10,00591;-2,893951;-0,04905;638545140275905409
0,2999999;9,991193;-2,943001;-0,04905;638545140275955435
0,3049999;9,976233;-2,992051;-0,04905;638545140276015428
0,3099999;9,961027;-3,041101;-0,04905;638545140276075429
0,3149998;9,945577;-3,090151;-0,04905;638545140276075429
0,3199998;9,929881;-3,139201;-0,04905;638545140276135410
0,3249998;9,913939;-3,188251;-0,04905;638545140276185442
0,3299998;9,897753;-3,237302;-0,04905;638545140276245417
0,3349998;9,881321;-3,286352;-0,04905;638545140276305428
0,3399998;9,864644;-3,335402;-0,04905;638545140276365412
0,3449998;9,847722;-3,384452;-0,04905;638545140276415418
0,3499998;9,830555;-3,433502;-0,04905;638545140276475408
0,3549998;9,813142;-3,482552;-0,04905;638545140276475408
0,3599998;9,795484;-3,531602;-0,04905;638545140276525413
0,3649998;9,77758;-3,580652;-0,04905;638545140276575418
0,3699998;9,759432;-3,629702;-0,04905;638545140276635411
0,3749998;9,741038;-3,678752;-0,04905;638545140276695407
0,3799998;9,7224;-3,727803;-0,04905;638545140276755412
0,3849998;9,703515;-3,776853;-0,04905;638545140276815405
0,3899998;9,684385;-3,825903;-0,04905;638545140276865411
0,3949998;9,66501;-3,874953;-0,04905;638545140276925398
0,3999998;9,645391;-3,924003;-0,04905;638545140276925398
0,4049998;9,625525;-3,973053;-0,04905;638545140276975421
0,4099998;9,605415;-4,022103;-0,04905;638545140277035406
0,4149998;9,585059;-4,071153;-0,04905;638545140277085409
0,4199997;9,564458;-4,120203;-0,04905;638545140277135415
0,4249997;9,543612;-4,169252;-0,04905;638545140277185421
0,4299997;9,52252;-4,218302;-0,04905;638545140277245418
0,4349997;9,501184;-4,267352;-0,04905;638545140277305417
0,4399997;9,479602;-4,316402;-0,04905;638545140277365432
0,4449997;9,457774;-4,365452;-0,04905;638545140277425405
0,4499997;9,435701;-4,414502;-0,04905;638545140277425405
0,4549997;9,413383;-4,463552;-0,04905;638545140277485421
0,4599997;9,390821;-4,512601;-0,04905;638545140277535426
0,4649997;9,368012;-4,561651;-0,04905;638545140277595405
0,4699997;9,344959;-4,610701;-0,04905;638545140277645407
0,4749997;9,32166;-4,659751;-0,04905;638545140277695410
0,4799997;9,298116;-4,708801;-0,04905;638545140277745411
0,4849997;9,274326;-4,757851;-0,04905;638545140277795411
0,4899997;9,250292;-4,806901;-0,04905;638545140277855409
0,4949997;9,226012;-4,85595;-0,04905;638545140277905412
0,4999997;9,201488;-4,905;-0,04905;638545140277955417
0,5049997;9,176718;-4,95405;-0,04905;638545140278015417
0,5099997;9,151702;-5,0031;-0,04905;638545140278075401
0,5149997;9,126441;-5,05215;-0,04905;638545140278075401
0,5199997;9,100935;-5,1012;-0,04905;638545140278135407
0,5249997;9,075184;-5,150249;-0,04905;638545140278185416
0,5299997;9,049188;-5,199299;-0,04905;638545140278245403
0,5349997;9,022946;-5,248349;-0,04905;638545140278295409
0,5399997;8,996459;-5,297399;-0,04905;638545140278355418
0,5449997;8,969727;-5,346449;-0,04905;638545140278415401
0,5499997;8,942749;-5,395499;-0,04905;638545140278465408
0,5549996;8,915526;-5,444549;-0,04905;638545140278525399
0,5599996;8,888059;-5,493598;-0,04905;638545140278525399
0,5649996;8,860346;-5,542648;-0,04905;638545140278575409
0,5699996;8,832387;-5,591698;-0,04905;638545140278625415
0,5749996;8,804183;-5,640748;-0,04905;638545140278685408
0,5799996;8,775734;-5,689798;-0,04905;638545140278735410
0,5849996;8,74704;-5,738848;-0,04905;638545140278785414
0,5899996;8,718101;-5,787898;-0,04905;638545140278845401
0,5949996;8,688916;-5,836947;-0,04905;638545140278905414
0,5999996;8,659486;-5,885997;-0,04905;638545140278965405
0,6049996;8,62981;-5,935047;-0,04905;638545140279025394
0,6099996;8,59989;-5,984097;-0,04905;638545140279025394
0,6149996;8,569724;-6,033147;-0,04905;638545140279075403
0,6199996;8,539313;-6,082197;-0,04905;638545140279135406
0,6249996;8,508657;-6,131247;-0,04905;638545140279185407
0,6299996;8,477756;-6,180296;-0,04905;638545140279245404
0,6349996;8,446609;-6,229346;-0,04905;638545140279295407
0,6399996;8,415216;-6,278396;-0,04905;638545140279345408
0,6449996;8,383579;-6,327446;-0,04905;638545140279405405
0,6499996;8,351697;-6,376496;-0,04905;638545140279465395
0,6549996;8,31957;-6,425546;-0,04905;638545140279515402
0,6599995;8,287196;-6,474596;-0,04905;638545140279565406
0,6649995;8,254578;-6,523645;-0,04905;638545140279615426
0,6699995;8,221714;-6,572695;-0,04905;638545140279675417
0,6749995;8,188605;-6,621745;-0,04905;638545140279675417
0,6799995;8,155252;-6,670795;-0,04905;638545140279735419
0,6849995;8,121653;-6,719845;-0,04905;638545140279795407
0,6899995;8,087809;-6,768895;-0,04905;638545140279845419
0,6949995;8,053719;-6,817945;-0,04905;638545140279895422
0,6999995;8,019383;-6,866994;-0,04905;638545140279955410
