Time;Position;Velocity;Acceleration;ActualTime
0;10.44;0;0;638546764688088803
0.005;10.43975;-0.04905;-0.04905;638546764688153931
0.01;10.43926;-0.09810001;-0.04905;638546764688204160
0.015;10.43853;-0.14715;-0.04905;638546764688254441
0.02;2.118667;-12.75302;-0.04905;638546764688309814
0.025;2.054656;-12.80207;-0.04905;638546764688309814
0.03;1.990401;-12.85112;-0.04905;638546764688365618
0.035;1.9259;-12.90017;-0.04905;638546764688421276
0.04;1.861154;-12.94922;-0.04905;638546764688471808
0.04499999;1.796162;-12.99827;-0.04905;638546764688527092
0.04999999;1.730926;-13.04733;-0.04905;638546764688582302
0.05499999;1.665444;-13.09638;-0.04905;638546764688632598
0.05999999;1.599717;-13.14543;-0.04905;638546764688682968
0.06499999;1.533744;-13.19448;-0.04905;638546764688738052
0.06999999;1.467527;-13.24353;-0.04905;638546764688793186
0.075;1.401064;-13.29258;-0.04905;638546764688843874
0.08;1.334356;-13.34163;-0.04905;638546764688899000
0.085;1.267402;-13.39068;-0.04905;638546764688954126
0.09;1.200204;-13.43973;-0.04905;638546764689004473
0.09500001;1.13276;-13.48878;-0.04905;638546764689054478
0.1;1.065071;-13.53783;-0.04905;638546764689105334
0.105;0.9971362;-13.58688;-0.04905;638546764689160466
0.11;0.9289566;-13.63593;-0.04905;638546764689160466
0.115;0.8605317;-13.68498;-0.04905;638546764689215592
0.12;0.7918615;-13.73403;-0.04905;638546764689270723
0.125;0.7229462;-13.78308;-0.04905;638546764689321044
0.13;0.6537855;-13.83213;-0.04905;638546764689376180
0.135;0.5843796;-13.88118;-0.04905;638546764689426481
0.14;0.5147284;-13.93023;-0.04905;638546764689476804
0.145;0.5293943;11.13592;0.01033572;638546764689531906
0.15;0.5848286;11.08687;-0.04905;638546764689587078
0.155;0.6400177;11.03782;-0.04905;638546764689637690
0.16;0.6949615;10.98877;-0.04905;638546764689692747
0.165;0.7496601;10.93972;-0.04905;638546764689743084
0.17;0.8041134;10.89067;-0.04905;638546764689798129
0.175;0.8583215;10.84161;-0.04905;638546764689848429
0.18;0.9122843;10.79256;-0.04905;638546764689903509
0.185;0.9660019;10.74351;-0.04905;638546764689953954
0.19;1.019474;10.69446;-0.04905;638546764690009080
0.1949999;1.072701;10.64541;-0.04905;638546764690009080
0.1999999;1.125683;10.59636;-0.04905;638546764690059755
0.2049999;1.17842;10.54731;-0.04905;638546764690114882
0.2099999;1.230911;10.49826;-0.04905;638546764690165187
0.2149999;1.283157;10.44921;-0.04905;638546764690220308
0.2199999;1.335158;10.40016;-0.04905;638546764690275437
0.2249999;1.386913;10.35111;-0.04905;638546764690325690
0.2299999;1.438424;10.30206;-0.04905;638546764690380810
0.2349999;1.489689;10.25301;-0.04905;638546764690435935
0.2399999;1.540708;10.20396;-0.04905;638546764690491106
0.2449999;1.591483;10.15491;-0.04905;638546764690541422
0.2499999;1.642012;10.10586;-0.04905;638546764690591723
0.2549999;1.692296;10.05681;-0.04905;638546764690647090
0.2599999;1.742335;10.00776;-0.04905;638546764690697349
0.2649999;1.792129;9.958709;-0.04905;638546764690752516
0.2699999;1.841677;9.909658;-0.04905;638546764690803060
0.2749999;1.89098;9.860608;-0.04905;638546764690858244
0.2799999;1.940038;9.811558;-0.04905;638546764690908579
0.2849999;1.98885;9.762507;-0.04905;638546764690968580
0.2899999;2.037417;9.713457;-0.04905;638546764690968580
0.2949999;2.085739;9.664407;-0.04905;638546764691018871
0.2999999;2.133816;9.615356;-0.04905;638546764691069308
0.3049999;2.181648;9.566306;-0.04905;638546764691124493
0.3099999;2.229234;9.517256;-0.04905;638546764691175079
0.3149998;2.276575;9.468205;-0.04905;638546764691225611
0.3199998;2.323671;9.419155;-0.04905;638546764691276281
0.3249998;2.370521;9.370105;-0.04905;638546764691331371
0.3299998;2.417127;9.321054;-0.04905;638546764691386482
0.3349998;2.463487;9.272004;-0.04905;638546764691437150
0.3399998;2.509601;9.222954;-0.04905;638546764691487475
0.3449998;2.555471;9.173903;-0.04905;638546764691547440
0.3499998;2.601095;9.124853;-0.04905;638546764691597747
0.3549998;2.646474;9.075803;-0.04905;638546764691652884
0.3599998;2.691608;9.026752;-0.04905;638546764691703154
0.3649998;2.736496;8.977702;-0.04905;638546764691753440
0.3699998;2.78114;8.928652;-0.04905;638546764691808535
0.3749998;2.825538;8.879601;-0.04905;638546764691863907
0.3799998;2.86969;8.830551;-0.04905;638546764691863907
0.3849998;2.913598;8.781501;-0.04905;638546764691914194
0.3899998;2.95726;8.73245;-0.04905;638546764691969317
0.3949998;3.000677;8.6834;-0.04905;638546764692024456
0.3999998;3.043849;8.63435;-0.04905;638546764692074776
0.4049998;3.086775;8.585299;-0.04905;638546764692125019
0.4099998;3.129457;8.536249;-0.04905;638546764692180839
0.4149998;3.171892;8.487199;-0.04905;638546764692235959
0.4199997;3.214083;8.438148;-0.04905;638546764692291066
0.4249997;3.256029;8.389098;-0.04905;638546764692341325
0.4299997;3.297729;8.340048;-0.04905;638546764692391598
0.4349997;3.339184;8.290998;-0.04905;638546764692446722
0.4399997;3.380394;8.241947;-0.04905;638546764692497055
0.4449997;3.421358;8.192897;-0.04905;638546764692557011
0.4499997;3.462077;8.143847;-0.04905;638546764692607286
0.4549997;3.502551;8.094796;-0.04905;638546764692662425
0.4599997;3.54278;8.045746;-0.04905;638546764692662425
0.4649997;3.582764;7.996696;-0.04905;638546764692712716
0.4699997;3.622502;7.947646;-0.04905;638546764692762724
0.4749997;3.661995;7.898596;-0.04905;638546764692812943
0.4799997;3.701243;7.849546;-0.04905;638546764692868070
0.4849997;3.740245;7.800497;-0.04905;638546764692923213
0.4899997;3.779002;7.751447;-0.04905;638546764692973511
0.4949997;3.817514;7.702397;-0.04905;638546764693023775
0.4999997;3.855781;7.653347;-0.04905;638546764693073778
0.5049997;3.893803;7.604297;-0.04905;638546764693128906
0.5099997;3.931579;7.555247;-0.04905;638546764693179205
0.5149997;3.96911;7.506197;-0.04905;638546764693239170
0.5199997;4.006395;7.457148;-0.04905;638546764693289742
0.5249997;4.043436;7.408098;-0.04905;638546764693349731
0.5299997;4.080231;7.359048;-0.04905;638546764693400025
0.5349997;4.116781;7.309998;-0.04905;638546764693450031
0.5399997;4.153086;7.260948;-0.04905;638546764693500639
0.5449997;4.189146;7.211898;-0.04905;638546764693550644
0.5499997;4.22496;7.162848;-0.04905;638546764693601304
0.5549996;4.260529;7.113799;-0.04905;638546764693651306
0.5599996;4.295853;7.064749;-0.04905;638546764693701882
0.5649996;4.330931;7.015699;-0.04905;638546764693757375
0.5699996;4.365765;6.966649;-0.04905;638546764693807714
0.5749996;4.400352;6.917599;-0.04905;638546764693867672
0.5799996;4.434695;6.868549;-0.04905;638546764693867672
0.5849996;4.468793;6.819499;-0.04905;638546764693917922
0.5899996;4.502645;6.77045;-0.04905;638546764693973352
0.5949996;4.536252;6.7214;-0.04905;638546764694023662
0.5999996;4.569614;6.67235;-0.04905;638546764694073930
0.6049996;4.60273;6.6233;-0.04905;638546764694124511
0.6099996;4.635602;6.57425;-0.04905;638546764694174512
0.6149996;4.668228;6.5252;-0.04905;638546764694224769
0.6199996;4.700608;6.476151;-0.04905;638546764694275059
0.6249996;4.732744;6.427101;-0.04905;638546764694325334
